month_period,value
2012-08-23,0.0
2012-08-24,0.0
2012-08-25,43.0
2012-08-26,76.0
2012-08-27,0.0
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,693.0
2012-08-31,333.0
2012-09-01,0.0
2012-09-05,0.0
2012-09-07,0.0
2012-09-08,0.0
2012-09-09,0.0
2012-09-10,0.0
2012-09-11,0.0
2012-09-12,0.0
2012-09-13,0.0
2012-09-14,28.0
2012-09-15,0.0
2012-09-16,0.0
2012-09-17,0.0
2012-09-18,470.0
2012-09-19,3.0
2012-09-21,0.0
2012-09-22,0.0
2012-09-23,0.0
2012-09-24,0.0
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-28,0.0
2012-09-29,0.0
2012-09-30,305.0
2012-10-01,409.0
2012-10-02,38.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-26,0.0
2012-10-27,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-02,0.0
2012-11-03,0.0
2012-11-04,84.0
2012-11-05,0.0
2012-11-06,86.0
2012-11-07,0.0
2012-11-08,0.0
2012-11-09,0.0
2012-11-10,0.0
2012-11-12,330.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-16,0.0
2012-11-17,0.0
2012-11-19,0.0
2012-11-21,0.0
2012-11-26,20.0
2012-11-27,320.0
2012-11-28,5.0
2012-11-29,0.0
2012-12-02,0.0
2012-12-03,0.0
2012-12-05,356.0
2012-12-06,8.0
2012-12-07,0.0
2012-12-08,0.0
2012-12-09,0.0
2012-12-10,244.0
2012-12-11,23.0
2012-12-12,5.0
2012-12-13,0.0
2012-12-15,0.0
2012-12-16,0.0
2012-12-17,424.0
2012-12-18,5.0
2012-12-20,25.0
2012-12-22,0.0
2012-12-23,0.0
2012-12-24,23.0
2012-12-26,1092.0
2012-12-27,0.0
2012-12-28,0.0
2012-12-29,226.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,213.0
2013-01-02,229.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,61.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,76.0
2013-01-10,51.0
2013-01-11,257.0
2013-01-12,5.0
2013-01-14,246.0
2013-01-15,424.0
2013-01-16,455.0
2013-01-17,64.0
2013-01-18,97.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-26,3.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,165.0
2013-02-01,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,53.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,820.0
2013-02-12,170.0
2013-02-13,307.0
2013-02-14,0.0
